,year,month,export_value,GDP_constant,import_value,inflation_percentage_change,interest_rate,manufac_prod_index,population,unemployment_rate,exchange_rate,consumer_price_index
186,2016,7,611817.0,785990.0,534301.0,-0.35,0.3,98.62,65805267.0,1.01,35.07,97.77
187,2016,8,611817.0,785990.0,534301.0,-0.04,0.3,101.52,65830449.0,0.93,34.72,97.73
188,2016,9,611817.0,785990.0,534301.0,0.04,0.3,102.32,65858119.0,0.87,34.74,97.77
189,2016,10,613878.0,852702.0,548588.0,0.15,0.3,100.38,65881730.0,1.19,35.06,97.92
190,2016,11,613878.0,852702.0,548588.0,-0.05,0.3,98.1,65907885.0,0.99,35.33,97.87
191,2016,12,613878.0,852702.0,548588.0,0.12,0.3,99.84,65931550.0,0.8,35.81,97.99
192,2017,1,632031.0,879639.0,552074.0,0.16,0.3,98.75,65948260.0,1.18,35.43,98.15
193,2017,2,632031.0,879639.0,552074.0,0.04,0.3,98.71,65962264.0,1.12,35.02,98.19
194,2017,3,632031.0,879639.0,552074.0,-0.46,0.3,101.65,65984008.0,1.29,34.9,97.74
195,2017,4,636352.0,831598.0,562156.0,0.16,0.3,99.47,66004278.0,1.25,34.45,97.9
196,2017,5,636352.0,831598.0,562156.0,0.14,0.3,101.52,66026591.0,1.32,34.45,98.04
197,2017,6,636352.0,831598.0,562156.0,0.02,0.3,101.59,66046557.0,1.07,34.0,98.06
198,2017,7,659348.0,821216.0,569358.0,-0.13,0.3,100.58,66065817.0,1.24,33.75,97.93
199,2017,8,659348.0,821216.0,569358.0,0.11,0.3,104.29,66091049.0,1.12,33.26,98.04
200,2017,9,659348.0,821216.0,569358.0,0.58,0.3,103.22,66118578.0,1.17,33.15,98.61
201,2017,10,655130.0,887527.0,586714.0,0.15,0.3,100.09,66143621.0,1.29,33.25,98.76
202,2017,11,655130.0,887527.0,586714.0,0.07,0.3,103.67,66168799.0,1.14,32.93,98.83
203,2017,12,655130.0,887527.0,586714.0,-0.08,0.3,103.72,66188503.0,0.96,32.67,98.75
204,2018,1,672967.0,924091.0,600055.0,0.07,0.3,103.44,66205110.0,1.26,31.88,98.82
205,2018,2,672967.0,924091.0,600055.0,-0.22,0.3,104.2,66218164.0,1.28,31.48,98.6
206,2018,3,672967.0,924091.0,600055.0,-0.09,0.3,105.86,66236461.0,1.16,31.26,98.51
207,2018,4,678517.0,870261.0,616170.0,0.45,0.3,103.49,66252815.0,1.06,31.31,98.95
208,2018,5,678517.0,870261.0,616170.0,0.56,0.3,107.05,66270678.0,1.04,31.97,99.5
209,2018,6,678517.0,870261.0,616170.0,-0.08,0.3,107.54,66287599.0,1.1,32.47,99.42
210,2018,7,657313.0,847805.0,630190.0,-0.05,0.3,107.41,66305833.0,0.98,33.27,99.37
211,2018,8,657313.0,847805.0,630190.0,0.26,0.3,108.9,66329785.0,1.04,33.02,99.63
212,2018,9,657313.0,847805.0,630190.0,0.29,0.3,105.5,66353911.0,0.97,32.62,99.92
213,2018,10,660787.0,922245.0,614578.0,0.06,0.3,107.57,66377264.0,1.01,32.77,99.98
214,2018,11,660787.0,922245.0,614578.0,-0.22,0.3,108.41,66397730.0,0.95,32.97,99.76
215,2018,12,660787.0,922245.0,614578.0,-0.66,0.3,103.8,66413979.0,0.91,32.7,99.1
216,2019,1,643091.0,948618.0,592813.0,-0.02,0.3,104.07,66427774.0,1.02,31.81,99.08
